subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,context,PCA,PEC
qxBxO2aU,rough,RS,109.791.666.666.667,1.225,300,300,170,566.149.193.548.387,575.907.258.064.516,1,rough,202.008.620.450.534,-202.008.620.450.534
71iEbD2f,smooth,RS,472.291.666.666.667,187.708.333.333.333,68,68,339,384.112.903.225.806,38.133.064.516.129,2,smooth,-167.359.272.878.208,167.359.272.878.208
71iEbD2f,rough,RS,588.541.666.666.667,1.8,15,15,384,378.548.387.096.774,38.133.064.516.129,1,rough,-255.393.548.520.244,255.393.548.520.244
yIINtdx0,smooth,SR,334.583.333.333.333,343.333.333.333.333,2,2,472,624.213.709.677.419,556.239.919.354.839,1,smooth,-285.663.100.771.126,285.663.100.771.126
yIINtdx0,rough,SR,36.375,320.208.333.333.333,1,1,479,488.266.129.032.258,556.239.919.354.839,2,rough,-287.773.156.990.199,287.773.156.990.199
3OMhW2L2,smooth,SR,221.666.666.666.667,221.041.666.666.667,242,242,236,651.229.838.709.677,6.046.875,1,smooth,0.39607691,-0.39607691
3OMhW2L2,rough,SR,359.166.666.666.667,297.291.666.666.667,162,162,301,558.145.161.290.323,6.046.875,2,rough,-129.222.108.994.319,129.222.108.994.319
Iq6t0xI9,smooth,RS,101.458.333.333.333,127.916.666.666.667,289,289,185,669.858.870.967.742,645.090.725.806.452,2,smooth,19.144.837.438.338,-19.144.837.438.338
Iq6t0xI9,rough,RS,163.958.333.333.333,179.166.666.666.667,305,305,172,620.322.580.645.161,645.090.725.806.452,1,rough,14.433.666.483.656,-14.433.666.483.656
2cHrWQjQ,smooth,SR,158.541.666.666.667,196.666.666.666.667,190,190,287,610.524.193.548.387,610.836.693.548.387,1,smooth,0.393840935,-0.393840935
2cHrWQjQ,rough,SR,102.708.333.333.333,1.125,314,314,163,611.149.193.548.387,610.836.693.548.387,2,rough,220.105.568.048.297,-220.105.568.048.297
lpCYtO4X,smooth,SR,190.833.333.333.333,196.875,74,74,363,563.447.580.645.161,541.975.806.451.613,1,smooth,-0.556140125,0.556140125
lpCYtO4X,rough,SR,280.416.666.666.667,236.041.666.666.667,78,78,373,520.504.032.258.064,541.975.806.451.613,2,rough,-122.054.572.233.216,122.054.572.233.216
nBnKbgVu,smooth,SR,293.541.666.666.667,280.833.333.333.333,38,38,442,606.935.483.870.968,586.844.758.064.516,1,smooth,-201.290.953.214.913,201.290.953.214.913
nBnKbgVu,rough,SR,1.875,210.416.666.666.667,249,249,229,566.754.032.258.064,586.844.758.064.516,2,rough,0.671991194,-0.671991194
rzXxVAPn,smooth,RS,251.666.666.666.667,278.541.666.666.667,77,77,393,623.407.258.064.516,550.292.338.709.677,2,smooth,-144.294.321.646.865,144.294.321.646.865
rzXxVAPn,rough,RS,412.291.666.666.667,350.625,20,20,451,477.177.419.354.839,550.292.338.709.677,1,rough,-308.278.619.040.304,308.278.619.040.304
ka1Am52q,smooth,RS,23.125,215.625,240,240,218,593.588.709.677.419,581.431.451.612.903,2,smooth,0.4545713,-0.4545713
ka1Am52q,rough,RS,1.7,152.083.333.333.333,301,301,148,569.274.193.548.387,581.431.451.612.903,1,rough,166.786.909.311.579,-166.786.909.311.579
D3K2ptQn,smooth,RS,108.125,120.208.333.333.333,434,434,46,58.804.435.483.871,557.671.370.967.742,2,smooth,312.485.988.308.711,-312.485.988.308.711
D3K2ptQn,rough,RS,210.416.666.666.667,173.125,212,212,254,527.298.387.096.774,557.671.370.967.742,1,rough,0.539489829,-0.539489829
AX6SiTCh,smooth,RS,0.972916667,105.833.333.333.333,307,307,173,672.278.225.806.452,635.493.951.612.903,2,smooth,219.463.857.149.079,-219.463.857.149.079
AX6SiTCh,rough,RS,0.870833333,101.875,310,310,165,598.709.677.419.355,635.493.951.612.903,1,rough,231.066.566.547.152,-231.066.566.547.152
bg6OzZya,smooth,RS,0.88125,10.125,306,306,172,646.290.322.580.645,62.570.564.516.129,2,smooth,226.360.143.012.224,-226.360.143.012.224
bg6OzZya,rough,RS,0.995833333,119.375,286,286,192,605.120.967.741.936,62.570.564.516.129,1,rough,193.323.705.924.402,-193.323.705.924.402
flxqwVUa,smooth,RS,360.625,256.041.666.666.667,270,270,170,572.540.322.580.645,518.689.516.129.032,2,smooth,-0.040609378,0.040609378
flxqwVUa,rough,RS,443.541.666.666.667,329.166.666.666.667,147,147,311,464.838.709.677.419,518.689.516.129.032,1,rough,-196.791.628.195.682,196.791.628.195.682
SJiKAAKo,smooth,RS,153.333.333.333.333,188.958.333.333.333,14,14,456,556.713.709.677.419,547.691.532.258.064,2,smooth,-0.984358193,0.984358193
SJiKAAKo,rough,RS,253.541.666.666.667,259.166.666.666.667,52,52,388,53.866.935.483.871,547.691.532.258.064,1,rough,-14.152.775.589.601,14.152.775.589.601
hqInOSUF,smooth,RS,153.125,182.083.333.333.333,193,193,283,667.358.870.967.742,617.389.112.903.226,2,smooth,0.537019463,-0.537019463
hqInOSUF,rough,RS,23.625,242.291.666.666.667,186,186,286,56.741.935.483.871,617.389.112.903.226,1,rough,-0.244410282,0.244410282
JODgyMcH,smooth,RS,0.96875,122.083.333.333.333,293,293,187,702.560.483.870.968,647.590.725.806.452,2,smooth,197.895.322.441.361,-197.895.322.441.361
JODgyMcH,rough,RS,232.916.666.666.667,220.833.333.333.333,176,176,299,592.620.967.741.936,647.590.725.806.452,1,rough,-0.194308339,0.194308339
085nmRnq,smooth,SR,276.458.333.333.333,273.958.333.333.333,21,21,448,599.778.225.806.452,605.161.290.322.581,1,smooth,-199.103.279.547.691,199.103.279.547.691
085nmRnq,rough,SR,264.791.666.666.667,242.916.666.666.667,277,277,195,61.054.435.483.871,605.161.290.322.581,2,rough,0.389328426,-0.389328426
