"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC"
"56",56,"60ca1c436511b9fc8ab35615","rough","SR",4.00833333333333,2.94583333333333,29,29,192,51.0362903225806,57.5282258064516,2,"rough",-1.13239484353609,1.13239484353609
"57",57,"60087e9189ddb34b79b08be5","smooth","SR",1.85,2.17083333333333,18,18,206,51.5725806451614,49.5262096774194,1,"smooth",-0.0979696842715558,0.0979696842715558
"58",58,"60087e9189ddb34b79b08be5","rough","SR",2.3,2.20833333333333,20,20,180,47.4798387096775,49.5262096774194,2,"rough",-0.0332940231065779,0.0332940231065779
"59",59,"60f86773e1cc7868421ee9d8","smooth","SR",1.94166666666667,2.50416666666667,10,10,229,53.7217741935482,48.0403225806451,1,"smooth",-0.604708269581211,0.604708269581211
"60",60,"60f86773e1cc7868421ee9d8","rough","SR",3.39583333333333,2.62916666666667,3,3,223,42.3588709677419,48.0403225806451,2,"rough",-1.24374738190945,1.24374738190945
"61",61,"60ee913de67c56daf5e842a9","smooth","RS",2.0125,2.39166666666667,51,51,178,61.1612903225808,53.3689516129033,2,"smooth",0.276265081413028,-0.276265081413028
"62",62,"60ee913de67c56daf5e842a9","rough","RS",3.4375,3.09166666666667,27,27,192,45.5766129032259,53.3689516129033,1,"rough",-1.01122477443781,1.01122477443781
"63",63,"605de3af48d7a575adb95b09","smooth","RS",2.13333333333333,2.47083333333333,88,88,151,60.7540322580645,58.3084677419354,2,"smooth",0.772446998779446,-0.772446998779446
"64",64,"605de3af48d7a575adb95b09","rough","RS",2.4,2.69583333333333,78,78,160,55.8629032258064,58.3084677419354,1,"rough",0.369993161091188,-0.369993161091188
"65",65,"604b7e9e029f0b8989930090","smooth","SR",2.875,3.81666666666667,17,17,222,64.3588709677419,55.9052419354839,1,"smooth",-1.56618936518794,1.56618936518794
"66",66,"604b7e9e029f0b8989930090","rough","SR",4.8125,4.96666666666667,4,4,236,47.4516129032259,55.9052419354839,2,"rough",-3.20171234726025,3.20171234726025
"67",67,"5efde724d80f81077c0800b9","smooth","SR",2.85,2.6,3,3,231,52.6814516129034,49.5483870967742,1,"smooth",-1.09094352943733,1.09094352943733
"68",68,"5efde724d80f81077c0800b9","rough","SR",2.60416666666667,2.16666666666667,3,3,233,46.4153225806451,49.5483870967742,2,"rough",-0.773663146480314,0.773663146480314
"69",69,"6116a378612ec47c9335f3ed","smooth","RS",3.15,1.87083333333333,75,75,160,57.1653225806453,50.1693548387098,2,"smooth",0.51172810099121,-0.51172810099121
"70",70,"6116a378612ec47c9335f3ed","rough","RS",4.26666666666667,1.8125,68,68,148,43.1733870967742,50.1693548387098,1,"rough",0.160573205481399,-0.160573205481399
"71",71,"5c5226296021330001f992df","smooth","RS",2.46666666666667,2.14166666666667,21,21,213,61.0241935483871,55.3387096774194,2,"smooth",-0.357514062713223,0.357514062713223
"72",72,"5c5226296021330001f992df","rough","RS",3.1875,3.35416666666667,27,27,211,49.6532258064516,55.3387096774194,1,"rough",-1.23680587845287,1.23680587845287
"73",73,"5e52894c77e0502a16cb4354","smooth","SR",1.95416666666667,2.01666666666667,84,84,155,63.2056451612904,55.0120967741936,1,"smooth",1.02064328887231,-1.02064328887231
