"","X.1","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"70",70,70,"6116a378612ec47c9335f3ed","rough","RS",4.26666666666667,1.8125,68,68,148,43.1733870967742,50.1693548387098,1,"rough",0.160573205481399,-0.160573205481399,1,0.616666666666667,0.283333333333333,0.48452661144012,0.172749934855018,0.0359497210197465,1.54339410437927,-1.40889030178761,0.228348102712896,999.107015294658,12,7,-1.11666666666667,0.05833333333333,-0.314682365395015,-0.762582107728649,-1.44430447551906
"71",71,71,"5c5226296021330001f992df","smooth","RS",2.46666666666667,2.14166666666667,21,21,213,61.0241935483871,55.3387096774194,2,"smooth",-0.357514062713223,0.357514062713223,1,0.8875,0.0875,0.55391948918364,0.493816076673106,0.0887101643493971,-0.0708960951108323,0.146391748014284,0.0929636787670376,796.857564159068,2,-6,-0.72083333333333,-1.2125,-0.256553354304464,-0.30643477528549,-1.0520266161553
"72",72,72,"5c5226296021330001f992df","rough","RS",3.1875,3.35416666666667,27,27,211,49.6532258064516,55.3387096774194,1,"rough",-1.23680587845287,1.23680587845287,1,0.879166666666667,0.1125,0.652142855566624,0.352511651892343,0.0716159413881751,-0.0708960951108323,0.146391748014284,0.0929636787670376,941.666831643612,2,-6,-0.72083333333333,-1.2125,-0.185657259193631,-0.452826523299774,-1.14499029492234
"73",73,73,"5e52894c77e0502a16cb4354","smooth","SR",1.95416666666667,2.01666666666667,84,84,155,63.2056451612904,55.0120967741936,1,"smooth",1.02064328887231,-1.02064328887231,1,0.645833333333333,0.35,0.606971944923159,0.294628642853278,0.0588112859243315,0.0226736279290183,-0.0278106752964257,0.0409639238159896,780.780846217155,-46,49,-1.34583333333333,-0.75833333333333,-0.216831382148204,-0.530725034722022,-1.23053932453036
"74",74,74,"5e52894c77e0502a16cb4354","rough","SR",3.3,2.775,35,35,201,46.8185483870968,55.0120967741936,2,"rough",-0.79279579229327,0.79279579229327,1,0.8375,0.145833333333333,0.576096172601685,0.314112804664182,0.0535176150856054,0.0226736279290183,-0.0278106752964257,0.0409639238159896,752.64706664668,-46,49,-1.34583333333333,-0.75833333333333,-0.239505010077223,-0.502914359425597,-1.27150324834635
"75",75,75,"5fca5e05aae247651ac78dfe","smooth","RS",0.504166666666667,0.804166666666667,150,150,90,67.975806451613,64.2620967741936,2,"smooth",3.45757367226918,-3.45757367226918,1,0.375,0.625,0.631365163686925,0.256822405284368,0.045142617559953,0.0401963260515168,0.0689804161963445,0.103677878759243,584.325375315787,2,-1,0.025,0.0458333333333341,-0.199719384489916,-0.590367090934539,-1.34541326229669
"76",76,76,"5fca5e05aae247651ac78dfe","rough","RS",0.479166666666667,0.758333333333333,151,151,88,60.5483870967741,64.2620967741936,1,"rough",3.52034741003548,-3.52034741003548,1,0.366666666666667,0.629166666666667,0.575551631659678,0.219105103196046,0.0355556693598072,0.0401963260515168,0.0689804161963445,0.103677878759243,502.651559262049,2,-1,0.025,0.0458333333333341,-0.239915710541433,-0.659347507130884,-1.44909114105594
"77",77,77,"60188dfb3c6ebe16a4fd9a38","smooth","SR",2.15833333333333,2.26666666666667,20,20,214,58.6733870967742,50.8266129032259,1,"smooth",-0.326306922450896,0.326306922450896,1,0.891666666666667,0.0833333333333333,0.657929633772188,0.375345105342303,0.065567530551627,0.0304153387477624,-0.00788663693712871,0.00425961173792921,791.786729504689,-17,17,-1.425,-0.34583333333333,-0.181820552128576,-0.425569243142977,-1.18331117271594
"78",78,78,"60188dfb3c6ebe16a4fd9a38","rough","SR",3.58333333333333,2.6125,3,3,231,42.9798387096775,50.8266129032259,2,"rough",-1.38107159435609,1.38107159435609,1,0.9625,0.0125,0.613428725441216,0.382223507751782,0.0649275799288867,0.0304153387477624,-0.00788663693712871,0.00425961173792921,857.124568645191,-17,17,-1.425,-0.34583333333333,-0.212235890876339,-0.417682606205848,-1.18757078445387
"79",79,79,"5ec68cfefc102707d67319f9","smooth","RS",2.9875,3.225,66,66,173,63.3266129032258,55.8346774193548,2,"smooth",-0.380723752468028,0.380723752468028,1,0.720833333333333,0.275,0.741485897169925,0.300706511646779,0.0740353098016964,-0.0217139659263003,-0.0146543897556126,0.0496113976065415,840.975300065353,-40,42,-1.29583333333333,-1.02083333333333,-0.129897104702391,-0.521857167371232,-1.13056110196345
