"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","bonus","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"43",43,"61308dda1a788a1f231cf0fa","smooth","SR",2.16458333333333,2.475,176,176,293,61.669354838125,57.53125,1,2.25133928571429,"smooth",0.328036839258392,-0.328036839258392,3,0.610416666666667,0.366666666666667,0.821520580987391,0.167608222020676,0.0515922458215465,-1.55738165889726,-1.1642361691702,0.0297233799188592,1573.53833539969,-3,2,-0.0479166666666697,-0.0375000000000001,-0.0853815520131026,-0.775704680869073,-1.2874155667831
"44",44,"61308dda1a788a1f231cf0fa","rough","SR",2.2125,2.5125,174,174,296,53.393145161875,57.53125,2,2.25133928571429,"rough",0.268558188243728,-0.268558188243728,3,0.616666666666667,0.3625,29.6483211919871,2.4464226462542,0.0481793629546461,-1.55738165889726,-1.1642361691702,0.0297233799188592,1811.0303977329,-3,2,-0.0479166666666697,-0.0375000000000001,1.47200010688416,0.388531488301124,-1.31713894670195
"45",45,"6136cb52db0f1cb2262bbf5d","smooth","SR",1.76875,2.26041666666667,208,208,272,66.83266129,63.8810483871875,1,2.52347350230804,"smooth",0.817880610988394,-0.817880610988394,3,0.566666666666667,0.433333333333333,3.91783334473372,0.0103589660603934,0.0523095063214679,0.648613165602009,-1.31842970892381,0.0816510326162734,1330.33984202595,12,-11,-0.3625,0,0.593045958202391,-1.98468358982962,-1.28141937867021
"46",46,"6136cb52db0f1cb2262bbf5d","rough","SR",2.13125,2.26041666666667,219,219,260,60.929435484375,63.8810483871875,2,2.52347350230804,"rough",0.773858248706355,-0.773858248706355,3,0.541666666666667,0.45625,0.87989893612495,0.215648339838914,0.0433440599842309,0.648613165602009,-1.31842970892381,0.0816510326162734,1211.33793923263,12,-11,-0.3625,0,-0.0555672073996183,-0.666253880905806,-1.36307041128649
"47",47,"614235732a911ae28559d9c3","smooth","RS",4.03958333333333,3.83541666666667,6,6,468,58.016129031875,53.83467741875,2,2.09291474651786,"smooth",-2.56976072746606,2.56976072746606,3,0.975,0.0125,17.1000144187134,3.19985511672975,0.0617821881035236,1.4176732820826,0.797764084767893,-0.166653700180844,1787.66063220736,0,3,-1.17708333333334,0.3625,1.23299647658894,0.505130314748262,-1.20913671460922
"48",48,"614235732a911ae28559d9c3","rough","RS",5.21666666666667,3.47291666666667,3,3,468,49.653225805625,53.83467741875,1,2.09291474651786,"rough",-2.84693949214078,2.84693949214078,3,0.975,0.00625,0.653616782104526,0.509760558547704,0.090681142994194,1.4176732820826,0.797764084767893,-0.166653700180844,1657.96134716011,0,3,-1.17708333333334,0.3625,-0.18467680549366,-0.292633770019631,-1.04248301442837
"49",49,"6154e16c9500b0262bbcabaa","smooth","RS",1.09791666666667,1.47291666666667,286,286,194,66.695564516875,62.6965725809375,2,2.47271025346875,"smooth",2.15083376602718,-2.15083376602718,3,0.404166666666667,0.595833333333333,5.17385375739438,0.00673794699908547,0.049595689804894,0.589070400414708,-1.17303423614978,0.0312452710052682,1357.8906149894,-51,52,-0.475,-0.10208333333333,0.713814148915847,-2.17147240951626,-1.30455606494706
"50",50,"6154e16c9500b0262bbcabaa","rough","RS",1.57291666666667,1.575,234,234,245,58.697580645,62.6965725809375,1,2.47271025346875,"rough",1.47975605033791,-1.47975605033791,3,0.510416666666667,0.4875,1.33273483208813,0.10036027129493,0.0461528648348398,0.589070400414708,-1.17303423614978,0.0312452710052682,1478.48386005037,-51,52,-0.475,-0.10208333333333,0.124743748501138,-0.998438173366475,-1.33580133595233
"51",51,"6157ea2bc310cfa8c29478f6","smooth","SR",3.10208333333333,3.175,108,108,368,61.909274193125,59.5796370959375,1,2.33912730411161,"smooth",-1.00746835875051,1.00746835875051,3,0.766666666666667,0.225,15.2984227740831,0.915743549631649,0.0647523094417449,-0.0439055871375984,2.13324627775456,0.101283173949234,1725.02611472584,59,-61,-0.970833333333339,-0.65416666666667,1.18464665854171,-0.0382261317616944,-1.18874473751822
"52",52,"6157ea2bc310cfa8c29478f6","rough","SR",4.07291666666667,3.82916666666667,169,169,309,57.24999999875,59.5796370959375,2,2.33912730411161,"rough",-1.22674943749797,1.22674943749797,3,0.64375,0.352083333333333,16.9259185119602,0.00673794699908547,0.0512828424203846,-0.0439055871375984,2.13324627775456,0.101283173949234,1821.9686777057,59,-61,-0.970833333333339,-0.65416666666667,1.22855224567931,-2.17147240951626,-1.29002791146745
