"","prolificID","assigned_condition","block_nr","trial_nr","grid","selected_choice","reward"
"167","5f5eec89adff681a180f6aa4",0,6,0,16,149,77
"168","5f5eec89adff681a180f6aa4",0,7,0,15,224,10
"169","5f5eec89adff681a180f6aa4",0,8,0,0,149,54
"170","5f5eec89adff681a180f6aa4",0,9,0,1,89,10
"171","5f5eec89adff681a180f6aa4",0,10,0,3,73,10
"172","5f5eec89adff681a180f6aa4",0,11,0,4,120,50
"173","5f5eec89adff681a180f6aa4",0,12,0,2,219,60
"174","5f5eec89adff681a180f6aa4",0,13,0,18,221,70
"175","5f5eec89adff681a180f6aa4",0,14,0,19,89,50
"176","5f5eec89adff681a180f6aa4",0,15,0,12,179,10
"177","5f5eec89adff681a180f6aa4",0,16,0,5,218,10
"178","5f5eec89adff681a180f6aa4",0,17,0,10,224,60
"179","5f5eec89adff681a180f6aa4",0,18,0,11,149,70
"180","5f5eec89adff681a180f6aa4",0,19,0,6,179,10
"181","6154e16c9500b0262bbcabaa",2,0,0,7,224,45
"182","6154e16c9500b0262bbcabaa",2,1,0,9,224,60
"183","6154e16c9500b0262bbcabaa",2,2,0,8,177,22
"184","6154e16c9500b0262bbcabaa",2,3,0,14,89,58
"185","6154e16c9500b0262bbcabaa",2,4,0,13,221,75
"186","6154e16c9500b0262bbcabaa",2,5,0,1,89,60
"187","6154e16c9500b0262bbcabaa",2,6,0,0,149,60
"188","6154e16c9500b0262bbcabaa",2,7,0,15,224,60
"189","6154e16c9500b0262bbcabaa",2,8,0,17,179,60
"190","6154e16c9500b0262bbcabaa",2,9,0,16,149,45
"191","6154e16c9500b0262bbcabaa",2,10,0,4,120,45
"192","6154e16c9500b0262bbcabaa",2,11,0,2,219,75
"193","6154e16c9500b0262bbcabaa",2,12,0,3,73,10
"194","6154e16c9500b0262bbcabaa",2,13,0,19,89,60
"195","6154e16c9500b0262bbcabaa",2,14,0,18,221,45
"196","6154e16c9500b0262bbcabaa",2,15,0,11,149,54
"197","6154e16c9500b0262bbcabaa",2,16,0,12,179,75
"198","6154e16c9500b0262bbcabaa",2,17,0,10,224,65
"199","6154e16c9500b0262bbcabaa",2,18,0,5,218,60
"200","6154e16c9500b0262bbcabaa",2,19,0,6,179,43
"201","5ff38032559f439a49bdac82",3,0,0,19,89,56
"202","5ff38032559f439a49bdac82",3,1,0,2,219,70
"203","5ff38032559f439a49bdac82",3,2,0,18,221,20
"204","5ff38032559f439a49bdac82",3,3,0,3,73,6
"205","5ff38032559f439a49bdac82",3,4,0,4,120,40
"206","5ff38032559f439a49bdac82",3,5,0,6,179,10
"207","5ff38032559f439a49bdac82",3,6,0,11,149,64
"208","5ff38032559f439a49bdac82",3,7,0,10,224,10
"209","5ff38032559f439a49bdac82",3,8,0,12,179,10
"210","5ff38032559f439a49bdac82",3,9,0,5,218,77
"211","5ff38032559f439a49bdac82",3,10,0,14,89,60
"212","5ff38032559f439a49bdac82",3,11,0,8,177,23
"213","5ff38032559f439a49bdac82",3,12,0,9,224,70
"214","5ff38032559f439a49bdac82",3,13,0,7,224,20
